time,16,20,12,24,28,8,30,6,32,11,31,14,29,7,13,15,2,10,18,26,27
0,897.8783976988532,354.49708932773626,377.0730686298272,794.2541315295172,914.5795778782685,58.55694011877962,605.1153909002825,304.84177542967785,396.2938987496068,589.1837571176936,577.0738279267109,392.15206105240253,430.8085478697195,1.552190511506956,576.5302708731016,400.3870980892028,432.10863056946135,382.8980219196937,909.971862170318,0.5726474154623107,5.777474797658732
1800,887.3004896726388,350.32075808279285,372.6307697067758,784.8970212857558,903.8049131995723,57.86708063618102,597.9865247123951,301.25043358282284,391.6251591707655,582.2425815539391,570.2753194741315,387.53211647557134,425.7331911087684,1.5339041505565616,569.7381660677585,395.67013651698454,427.0179575304267,378.3870992049183,899.2514810038374,0.565901054587905,5.709410350190087
3600,873.2378625987845,344.7686027143609,366.7250279522965,772.4573638864988,889.480711207379,56.94995821338206,588.5091699829695,296.47598281600864,385.4183795845296,573.0147490595244,561.2371534407209,381.3902066078691,418.985840950387,1.5095936466321553,560.7085132585861,389.39924898918406,420.25024539628276,372.39012667125104,884.9994453404357,0.5569322153006567,5.618923182087712
5400,851.9759510109702,336.3740519703615,357.7958742184495,753.649292363543,867.8233128617844,55.56332001510344,574.1799356738234,289.2572782630653,376.0340733582086,559.0627785199522,547.5719480627265,372.1039797953694,408.78422202341864,1.4728375140559775,547.0561794031124,379.91801511353685,410.0178402921554,363.3230370630477,863.451158478373,0.5433718281148702,5.482111606418369
7200,823.8288748747503,325.261125555216,345.97522634581685,728.7506740551353,839.1526809842976,53.727652004767634,555.2105195229058,279.700967871246,363.61088268003647,540.5927940406308,529.4815908244841,359.81062921726624,395.2790513587711,1.4241787818520675,528.9828618239279,367.3665090713381,396.4719140788425,351.3197860626864,834.9249712441456,0.525420231948244,5.300996854775425
9000,804.9579410704957,317.81057197953197,338.05018779302696,712.0576372494138,819.9307343185839,52.49694621699813,542.4926587136018,273.29403238906025,355.28187515574353,528.2097723445914,517.3530865249239,351.5686717269337,386.2246408617683,1.3915560074660152,516.8657815982777,358.9514737575549,387.39017942009383,343.27232301652674,815.7998660865206,0.513384758661369,5.179570228695783
10800,787.4606990408935,310.90237440327473,330.7020449247164,696.5797542665952,802.1080310767193,51.35582849281956,530.7005825510001,267.35348371443257,347.5591698550618,516.7281609987571,506.1074652224618,343.92667973533815,377.8293376115544,1.3613079770807264,505.63075276507243,351.14900297893774,378.9695410446401,335.81066743002947,798.0669548667742,0.5022253962670296,5.066982738993789
12600,770.7877833285442,304.3196343509666,323.7000861886843,681.8310619903184,785.1249872110011,50.268470862347925,519.4640521538075,261.6928048960447,340.20029499171244,505.78746886640965,495.3916452211304,336.64471563295234,369.8295520891495,1.3324849854215108,494.9250262028558,343.71412053175766,370.94561397998683,328.70054376266677,781.1694727606684,0.4915917713626246,4.959699446981796
14400,755.9651771035734,298.4674267731141,317.475183541883,668.7191347355915,770.0266699120963,49.30178487530965,509.47451773247445,256.6603310001413,333.6580856841064,496.060941478863,485.8650343392824,330.1708817639254,362.7175584385727,1.306860681732761,485.4073886209414,337.1043387308533,363.8121579421118,322.3794799997101,766.1472218374673,0.4821382338157819,4.864322128494276
